Nombre_ubicacion	Sector	Distrito	Area_inf_centro
lLOS CARRIZOS	Sol	Cholchol	Cesfam Cholchol
Guinca Guenchuleo	Sol	Cholchol	Cesfam Cholchol
Ramon Ancamil	Sol	Cholchol	Cesfam Cholchol
Fermin Guenchual	Sol	Cholchol	Cesfam Cholchol
Dionisio Paillao	Sol	Cholchol	Cesfam Cholchol
Miguel Lemunao	Sol	Cholchol	Cesfam Cholchol
Benito Nain	Sol	Cholchol	Cesfam Cholchol
Juan Pedro Guilcan	Sol	Cholchol	Cesfam Cholchol
Domingo Colin	Sol	Cholchol	Cesfam Cholchol
Guenul Llancal	Sol	Cholchol	Cesfam Cholchol
Juan Curigual	Sol	Cholchol	Cesfam Cholchol
José Loncomil	Sol	Cholchol	Cesfam Cholchol
Rosario Quezada	Sol	Cholchol	Cesfam Cholchol
Domingo Marillan	Sol	Cholchol	Cesfam Cholchol
Santos Marillan	Sol	Cholchol	Cesfam Cholchol
Jacinto Carrasco Lleuvul	Sol	Cholchol	Cesfam Cholchol
Rosa Millapan	Sol	Cholchol	Cesfam Cholchol
Juan Melinao	Sol	Cholchol	Cesfam Cholchol
Juan Guaiquil	Sol	Cholchol	Cesfam Cholchol
Manuel Cayunao	Sol	Cholchol	Cesfam Cholchol
Benancio Coñoepan	Sol	Cholchol	Cesfam Cholchol
Catrileo Lleubul	Sol	Cholchol	Cesfam Cholchol
Pascual Coloma y Tripailao	Sol	Cholchol	Cesfam Cholchol
Pedro Guilcan	Sol	Cholchol	Cesfam Cholchol
Manuel Hunchunao	Sol	Cholchol	Cesfam Cholchol
Juan Millapan	Sol	Cholchol	Cesfam Cholchol
Juan Curall	Sol	Cholchol	Cesfam Cholchol
Domingo Coñoepan	Sol	Cholchol	Cesfam Cholchol
José Manuel Guilcan	Sol	Cholchol	Cesfam Cholchol
Juan Hulipan	Sol	Cholchol	Cesfam Cholchol
Juan Lienan	Sol	Cholchol	Cesfam Cholchol
Juan Colipi Huechunao	Sol	Cholchol	Cesfam Cholchol
Antonio Relmucao	Sol	Cholchol	Cesfam Cholchol
JOSÉ CHANQUEO	Sol	Tranahuillin	Cesfam Cholchol
Guinca Guenchuleo	Sol	Tranahuillin	Cesfam Cholchol
Ramon Painemal	Sol	Tranahuillin	Cesfam Cholchol
Pedro Cayuqueo	Sol	Tranahuillin	Cesfam Cholchol
Fermin Guenchual	Sol	Tranahuillin	Cesfam Cholchol
